Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
55710,1498.0,0.53 %,"#11,381",47.649681,-92.697535,Britt,Minnesota
56097,4350.0,0.52 %,"#11,477",43.721047,-93.723161,Wells,Minnesota
56201,22126.0,0.52 %,"#11,478",45.101448,-95.040671,Willmar,Minnesota
55992,4353.0,0.52 %,"#11,479",44.322284,-92.682716,Zumbrota,Minnesota
55944,7234.0,0.52 %,"#11,480",44.028435,-92.744489,Kasson,Minnesota
56551,2343.0,0.51 %,"#11,554",46.317619,-95.437061,Henning,Minnesota
56274,193.0,0.51 %,"#11,555",45.899505,-96.250267,Norcross,Minnesota
55792,10904.0,0.51 %,"#11,556",47.587857,-92.451872,Virginia,Minnesota
55330,26514.0,0.51 %,"#11,557",45.327251,-93.572212,Elk River,Minnesota
55090,390.0,0.51 %,"#11,558",45.054457,-92.956880,Willernie,Minnesota
56544,4744.0,0.50 %,"#11,761",46.757782,-95.605415,Frazee,Minnesota
56117,396.0,0.50 %,"#11,762",43.536430,-95.703811,Bigelow,Minnesota
56128,1993.0,0.50 %,"#11,763",43.883491,-96.118597,Edgerton,Minnesota
56141,400.0,0.50 %,"#11,764",43.877080,-95.804580,Iona,Minnesota
55088,1569.0,0.50 %,"#11,765",44.523586,-93.383455,Webster,Minnesota
56229,1836.0,0.49 %,"#11,904",44.594036,-95.716384,Cottonwood,Minnesota
56686,1016.0,0.49 %,"#11,905",48.784049,-94.911697,Williams,Minnesota
56639,402.0,0.49 %,"#11,906",47.845406,-93.517932,Effie,Minnesota
56115,1410.0,0.49 %,"#11,907",44.209457,-95.905771,Balaton,Minnesota
55991,1404.0,0.49 %,"#11,908",44.261215,-92.418566,Zumbro Falls,Minnesota
56074,1821.0,0.49 %,"#11,909",44.321750,-94.183030,Nicollet,Minnesota
55037,4428.0,0.49 %,"#11,910",45.988377,-92.829264,Hinckley,Minnesota
55712,401.0,0.49 %,"#11,912",46.272648,-92.458257,Bruno,Minnesota
56323,617.0,0.48 %,"#12,028",45.629632,-95.723921,Cyrus,Minnesota
56542,2871.0,0.48 %,"#12,029",47.563756,-95.739267,Fosston,Minnesota
55917,3710.0,0.48 %,"#12,030",43.884820,-93.075481,Blooming Prairie,Minnesota
55601,206.0,0.48 %,"#12,031",47.259633,-91.298629,Beaver Bay,Minnesota
56156,6332.0,0.48 %,"#12,032",43.666604,-96.240790,Luverne,Minnesota
55011,8696.0,0.48 %,"#12,033",45.345744,-93.261937,Cedar,Minnesota
55767,3930.0,0.48 %,"#12,034",46.447351,-92.758647,Moose Lake,Minnesota
55312,1636.0,0.48 %,"#12,036",44.706340,-94.351290,Brownton,Minnesota
55008,12310.0,0.48 %,"#12,037",45.569486,-93.276659,Cambridge,Minnesota
55753,1061.0,0.47 %,"#12,089",47.398412,-93.075789,Keewatin,Minnesota
55940,2524.0,0.47 %,"#12,090",43.891639,-92.809208,Hayfield,Minnesota
55009,7832.0,0.47 %,"#12,091",44.487292,-92.862697,Cannon Falls,Minnesota
55043,4028.0,0.47 %,"#12,092",44.938627,-92.777056,Lakeland,Minnesota
56283,7099.0,0.47 %,"#12,214",44.527995,-95.138830,Redwood Falls,Minnesota
56466,2762.0,0.47 %,"#12,215",46.388684,-94.635389,Motley,Minnesota
55962,849.0,0.47 %,"#12,216",43.762120,-91.845163,Peterson,Minnesota
56537,19054.0,0.46 %,"#12,251",46.276711,-96.091938,Fergus Falls,Minnesota
56550,432.0,0.46 %,"#12,252",47.273933,-96.743060,Hendrum,Minnesota
55388,4482.0,0.46 %,"#12,253",44.947419,-93.842598,Watertown,Minnesota
55934,2770.0,0.46 %,"#12,254",44.007826,-92.266784,Eyota,Minnesota
55092,9239.0,0.46 %,"#12,255",45.349572,-93.069716,Wyoming,Minnesota
56716,9894.0,0.45 %,"#12,538",47.751878,-96.557274,Crookston,Minnesota
55926,886.0,0.45 %,"#12,539",43.739552,-92.705306,Dexter,Minnesota
56180,1098.0,0.45 %,"#12,540",44.261989,-95.462544,Walnut Grove,Minnesota
