,Zipcodes,Zipcode Latitude,Zipcode Longitude,Business,City,Zipcodes,Biz Latitude,Biz Longitude
447,55127,45.088675,-93.077568,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
448,55127,45.088675,-93.077568,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
454,55128,44.987546,-92.963553,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
462,55305,44.956379,-93.428013,Jin Jin Shanghai Market,Hopkins,55343,44.92631486,-93.38649526
470,55306,44.730974,-93.29494,Groceries of the Orient,Burnsville,55337,44.77504992,-93.31867777
471,55306,44.730974,-93.29494,Saigon Asian Food Market,Burnsville,55337,44.7884281,-93.2463804
472,55306,44.730974,-93.29494,Hana Asian Market,Bloomington,55425,44.83685,-93.24967
473,55306,44.730974,-93.29494,Asian Direct Oriental Market,Savage,55378,44.778142,-93.333283
474,55306,44.730974,-93.29494,Chan Oriental Market,Minneapolis,55420,44.8395572,-93.2888149
477,55306,44.730974,-93.29494,Bharat Bazaar,Bloomington,55431,44.8575903,-93.3050049
481,55316,45.165902,-93.414665,Dragon Star Supermarket,Minneapolis,55445,45.09647811,-93.37819498
483,55316,45.165902,-93.414665,Vinai Market,Minneapolis,55429,45.0680961,-93.3281749
484,55316,45.165902,-93.414665,Ethnic Foods Company,Osseo,55369,45.11842,-93.40173
485,55316,45.165902,-93.414665,Sun Foods,Brooklyn Center,55429,45.07049,-93.3285
488,55317,44.858704,-93.550209,Idly Dosai International Market,Chanhassen,55317,44.86268,-93.53154
490,55317,44.858704,-93.550209,Thai Tempo,Shakopee,55379,44.77970205,-93.46891688
492,55331,44.894464,-93.602068,Idly Dosai International Market,Chanhassen,55317,44.86268,-93.53154
494,55337,44.778472,-93.272269,Groceries of the Orient,Burnsville,55337,44.77504992,-93.31867777
495,55337,44.778472,-93.272269,Saigon Asian Food Market,Burnsville,55337,44.7884281,-93.2463804
496,55337,44.778472,-93.272269,Hana Asian Market,Bloomington,55425,44.83685,-93.24967
497,55337,44.778472,-93.272269,Asian Direct Oriental Market,Savage,55378,44.778142,-93.333283
498,55337,44.778472,-93.272269,Chan Oriental Market,Minneapolis,55420,44.8395572,-93.2888149
500,55337,44.778472,-93.272269,Kt Oriental Market,Minneapolis,55423,44.86645,-93.28885
501,55337,44.778472,-93.272269,Asian Direct Oriental Market,Richfield,55423,44.86349,-93.26758
502,55337,44.778472,-93.272269,Bharat Bazaar,Bloomington,55431,44.8575903,-93.3050049
505,55337,44.778472,-93.272269,TBS Mart,Bloomington,55420,44.860838,-93.26903
510,55343,44.914356,-93.411657,Jin Jin Shanghai Market,Hopkins,55343,44.92631486,-93.38649526
521,55344,44.863384,-93.428318,Jin Jin Shanghai Market,Hopkins,55343,44.92631486,-93.38649526
524,55344,44.863384,-93.428318,Thai Tempo,Shakopee,55379,44.77970205,-93.46891688
529,55345,44.913313,-93.485581,Idly Dosai International Market,Chanhassen,55317,44.86268,-93.53154
533,55346,44.880818,-93.482099,Idly Dosai International Market,Chanhassen,55317,44.86268,-93.53154
535,55346,44.880818,-93.482099,Thai Tempo,Shakopee,55379,44.77970205,-93.46891688
539,55347,44.826059,-93.46533,Jin Jin Shanghai Market,Hopkins,55343,44.92631486,-93.38649526
540,55347,44.826059,-93.46533,Idly Dosai International Market,Chanhassen,55317,44.86268,-93.53154
542,55347,44.826059,-93.46533,Thai Tempo,Shakopee,55379,44.77970205,-93.46891688
546,55369,45.130113,-93.444661,Dragon Star Supermarket,Minneapolis,55445,45.09647811,-93.37819498
548,55369,45.130113,-93.444661,Ethnic Foods Company,Osseo,55369,45.11842,-93.40173
552,55372,44.682895,-93.403141,Groceries of the Orient,Burnsville,55337,44.77504992,-93.31867777
553,55372,44.682895,-93.403141,Asian Direct Oriental Market,Savage,55378,44.778142,-93.333283
554,55372,44.682895,-93.403141,Thai Tempo,Shakopee,55379,44.77970205,-93.46891688
556,55378,44.769329,-93.39736,Asian Direct Oriental Market,Savage,55378,44.778142,-93.333283
557,55378,44.769329,-93.39736,Groceries of the Orient,Burnsville,55337,44.77504992,-93.31867777
558,55378,44.769329,-93.39736,Thai Tempo,Shakopee,55379,44.77970205,-93.46891688
565,55379,44.743507,-93.526107,Thai Tempo,Shakopee,55379,44.77970205,-93.46891688
566,55379,44.743507,-93.526107,Idly Dosai International Market,Chanhassen,55317,44.86268,-93.53154
570,55391,44.968226,-93.525645,Idly Dosai International Market,Chanhassen,55317,44.86268,-93.53154
573,55403,44.97057,-93.284032,United Noodles,Minneapolis,55404,44.958324,-93.2424698
574,55403,44.97057,-93.284032,Shuang Hur Oriental Market,Minneapolis,55408,44.9533109,-93.27810053
575,55403,44.97057,-93.284032,Truong Thanh Grocery Store,Minneapolis,55404,44.9566803,-93.278389
576,55403,44.97057,-93.284032,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
577,55403,44.97057,-93.284032,Midtown Global Market,Minneapolis,55407,44.948566,-93.260711
578,55403,44.97057,-93.284032,Bill's Imported Foods,Minneapolis,55408,44.94807053,-93.28912354
579,55403,44.97057,-93.284032,Seoul Oriental Foods,Fridley,55432,45.0807533,-93.2411423
582,55403,44.97057,-93.284032,Koom Siab Grocery & Deli,Minneapolis,55444,45.0949,-93.30191
583,55403,44.97057,-93.284032,Bangkok Market & Video Rental,Minneapolis,55411,45.01223755,-93.2875824
